卡名,Image URL,效果
誇りと魂の龍,/yugiohdb/get_image.action?type=1&osplang=1&cid=20260&ciid=1&enc=BsyPu3-GoEaT2wQhsjjg6g,このカードは通常召喚できない。相手の墓地にカードが２５枚以上存在する場合のみ特殊召喚できる。①：自分の墓地にカードが２５枚以上存在する限り、このカードの攻撃力・守備力は２５００アップする。
千年の眠りから覚めし原人,/yugiohdb/get_image.action?type=1&osplang=1&cid=20180&ciid=1&enc=eu0uQW_WfAHM5lS8gM-JEg,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：このカードが手札に存在する場合に発動できる。このカードを永続魔法カード扱いで自分の魔法＆罠ゾーンに表側表示で置く。②：このカードが永続魔法カード扱いの場合、２０００LPを払うか手札の「千年の十字」１枚を相手に見せて発動できる。このカードを特殊召喚する。その後、デッキから「千年」モンスターか「ミレニアム」モンスター１体を手札に加える事ができる。③：このカードはモンスターゾーンに存在する限り、モンスターの効果では破壊されない。
千年の宝を守りしゴーレム,/yugiohdb/get_image.action?type=1&osplang=1&cid=20181&ciid=1&enc=Vfwoa9BbXKfbvyhL0pVAAQ,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：このカードが手札に存在する場合に発動できる。このカードを永続魔法カード扱いで自分の魔法＆罠ゾーンに表側表示で置く。②：このカードが永続魔法カード扱いの場合、２０００LPを払うか手札の「千年の十字」１枚を相手に見せて発動できる。このカードを特殊召喚する。その後、デッキから「石版の神殿」１枚を手札に加える事ができる。③：このカードがモンスターゾーンに存在する限り、自分の「千年の十字」の発動は無効化されない。
千年王朝の盾,/yugiohdb/get_image.action?type=1&osplang=1&cid=20182&ciid=1&enc=Bki99ZDBKdiQI504YBv3uQ,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：このカードが手札に存在する場合に発動できる。このカードを永続魔法カード扱いで自分の魔法＆罠ゾーンに表側表示で置く。②：このカードが永続魔法カード扱いの場合、２０００LPを払うか手札の「千年の十字」１枚を相手に見せて発動できる。このカードを特殊召喚する。その後、デッキから「千年の十字」１枚を手札に加える事ができる。③：このカードはモンスターゾーンに存在する限り、魔法・罠カードの効果では破壊されない。
ミレニアムーン・メイデン,/yugiohdb/get_image.action?type=1&osplang=1&cid=20183&ciid=1&enc=zYklr9E9ViskDAwkfuxVDA,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：このカードが手札に存在する場合に発動できる。このカードを永続魔法カード扱いで自分の魔法＆罠ゾーンに表側表示で置く。②：このカードが永続魔法カード扱いの状態で、相手の効果が発動した場合に発動できる。このカードを特殊召喚し、このターン中、自分フィールドのレベル５以上の幻想魔族・魔法使い族モンスターを相手は効果の対象にできない。③：このカードがモンスターと戦闘を行う場合、その２体はその戦闘では破壊されない。
ミレニアム・アブソリューター,/yugiohdb/get_image.action?type=1&osplang=1&cid=20184&ciid=1&enc=G2HUNC7RAYwnqPr8JV5yhQ,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：このカードが手札に存在する場合に発動できる。このカードを永続魔法カード扱いで自分の魔法＆罠ゾーンに表側表示で置く。②：このカードが永続魔法カード扱いの状態で、相手の効果が発動した場合に発動できる。このカードを特殊召喚する。その後、フィールドのモンスター１体の攻撃力の半分だけ自分のLPを回復できる。③：このカードがモンスターと戦闘を行う場合、その２体はその戦闘では破壊されない。
黒き魔術師－ブラック・マジシャン,/yugiohdb/get_image.action?type=1&osplang=1&cid=20185&ciid=1&enc=AOMt-H6IP169F7iTw9TQPg,このカード名の①③の効果はそれぞれ１ターンに１度しか使用できない。①：フィールドに「光の黄金櫃」が存在する場合に発動できる。このカードを手札から特殊召喚する。②：このカードはモンスターゾーンに存在する限り、カード名を「ブラック・マジシャン」として扱う。③：このカードが効果で破壊された場合、フィールドにレベル５以上のモンスターが存在していれば発動できる。このカードを特殊召喚する。その後、デッキから「ブラック・マジシャン」のカード名が記された魔法・罠カード１枚を自分フィールドにセットできる。
ギミック・パペット－リトル・ソルジャーズ,/yugiohdb/get_image.action?type=1&osplang=1&cid=20186&ciid=1&enc=AfFvqQbYI2wGgsq725xXcw,このカード名の①の効果は１ターンに１度しか使用できない。①：このカードが召喚・特殊召喚した場合、このカードとはレベルが異なる「ギミック・パペット」モンスター１体をデッキから墓地へ送って発動できる。このカードのレベルを墓地へ送ったモンスターと同じにする。②：墓地のこのカードを除外し、自分フィールドの「ギミック・パペット」モンスターを２体まで対象として発動できる。そのモンスターのレベルをターン終了時まで４つ上げる。
ギミック・パペット－ブラッディ・ドール,/yugiohdb/get_image.action?type=1&osplang=1&cid=20187&ciid=1&enc=Z-tB6KW37BondUYZuTaWXw,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できず、この効果を発動するターン、自分は「ギミック・パペット」モンスターしかEXデッキから特殊召喚できない。①：このカードが手札に存在する場合、EXデッキの「ギミック・パペット」Xモンスター１体を相手に見せて発動できる。見せたモンスターのランクと同じ数値のレベルを持つデッキの「ギミック・パペット」モンスター１体と、このカードを特殊召喚する。②：このカードが手札以外から墓地へ送られた場合に発動できる。このカードを手札に加える。
ギミック・パペット－カトル・スクリーム,/yugiohdb/get_image.action?type=1&osplang=1&cid=20188&ciid=1&enc=2HrLSHyE0ysWdr3tnpkCqA,このカード名の①の効果は１ターンに１度しか使用できない。①：自分フィールドのX素材を１つ取り除いて発動できる。このカードを手札・墓地から特殊召喚する。この効果で特殊召喚したこのカードは、フィールドから離れた場合に除外される。②：このカードを素材として持っている「ギミック・パペット」Xモンスターは以下の効果を得る。●１ターンに１度、相手の墓地のモンスター１体を対象として発動できる。そのモンスターを相手フィールドに守備表示で特殊召喚する。
